ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
REACTOME_RRNA_PROCESSING,REACTOME_RRNA_PROCESSING,200,-0.562446851,-2.563606162,1.00E-10,2.27E-08,1.70E-08,5447,"tags=64%, list=30%, signal=45%",TEX10/NAT10/RPS7/RPL12/MRM3/RPL39/RPS26/RPS20/WDR75/WDR3/RPL6/RPL26L1/RPL3/DHX37/EBNA1BP2/RRP36/RPL9/RPS14/RPS8/ELAC2/NOP10/RPL36A/RPL5/RPS10/RBM28/MTREX/BYSL/RPS25/RPS18/DIMT1/DDX52/RRP1/MRM1/RPS23/RRP7A/UTP25/RPL24/EXOSC8/RPL37/FTSJ3/NHP2/UTP4/RPS27A/RPP14/RPL37A/PNO1/RPP38/BMS1/RPS24/GAR1/RIOK1/ISG20L2/RPS13/RPS11/RPL8/CSNK1D/RPS12/RPS17/DKC1/RPL32/RPL29/RPS21/MPHOSPH10/RPLP2/UTP3/SENP3/RPS16/THUMPD1/EXOSC2/RPL10A/NOC4L/RPS15/MPHOSPH6/RPL36/RPS6/UTP11/EXOSC3/RPS15A/TSR1/RPL7/RPSA/PELP1/NOL12/RPL31/EXOSC6/RPL23/RPL13A/NOB1/RPL27/UTP6/FCF1/RPL17/TFB1M/RPL36AL/RPL26/NCL/DIS3/RPL10L/UTP18/EXOSC4/UBA52/RPL34/RPL38/RPL14/XRN2/UTP15/RPL35A/IMP3/RPL11/EMG1/NIP7/NOL11/RIOK3/DDX21/EXOSC9/GNL3/EXOSC10/RPL27A/WDR12/RPS3/C1D/BOP1/LTV1/TRMT10C/WDR43/NOP58/RPP25
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,118,-0.573767684,-2.466381847,1.00E-10,2.27E-08,1.70E-08,5671,"tags=65%, list=31%, signal=45%",RPL22/EIF4H/RPS3A/EIF1AX/EIF3J/RPS7/RPL12/RPL39/RPS26/RPS20/RPL6/RPL26L1/RPL3/RPL9/RPS14/EIF2B4/RPS8/RPL36A/RPL5/RPS10/EIF3L/EIF4E/EIF5B/RPS25/RPS18/RPS23/EIF4A1/RPL24/RPL37/RPS27A/RPL37A/EIF3E/RPS24/EIF3D/RPS13/RPS11/RPL8/RPS12/RPS17/RPL32/RPL29/RPS21/RPLP2/RPS16/EIF4B/RPL10A/RPS15/RPL36/EIF3H/RPS6/RPS15A/RPL7/RPSA/RPL31/EIF2S3/RPL23/RPL13A/RPL27/RPL17/RPL36AL/RPL26/RPL10L/EIF2B1/UBA52/RPL34/EIF5/RPL38/RPL14/EIF2B5/RPL35A/EIF2S1/EIF3K/RPL11/EIF3A/RPL27A/RPS3/EIF3B
REACTOME_INFLUENZA_INFECTION,REACTOME_INFLUENZA_INFECTION,155,-0.526226067,-2.339387627,1.00E-10,2.27E-08,1.70E-08,5671,"tags=61%, list=31%, signal=42%",RPL22/CLTC/NUP155/RPS3A/POLR2F/RPS7/RPL12/POLR2J/RPL39/NDC1/RPS26/RPS20/RPL6/RPL26L1/RPL3/CANX/RPL9/RPS14/RPS8/RPL36A/RPL5/RPS10/AAAS/RPS25/RPS18/CLTA/NUP153/NUP160/RPS23/RPL24/KPNA3/POLR2C/RPL37/RPS27A/RPL37A/POLR2D/CPSF4/RPS24/POLR2H/POLR2K/RPS13/POLR2B/RPS11/RPL8/RPS12/RPS17/RPL32/RPL29/RPS21/KPNA5/EIF2AK2/RPLP2/RPS16/NUP85/RPL10A/POM121C/RPS15/RPL36/RPS6/RPS15A/RPL7/RPSA/RPL31/RPL23/RPL13A/GRSF1/RPL27/RANBP2/NUP98/RPL17/RPL36AL/NUP107/RPL26/RAN/RPL10L/NUP42/KPNA1/UBA52/NUP58/RPL34/NUP43/RPL38/RPL14/RPL35A/RPL11/PABPN1/SLC25A6/NUP37/NUP50/RPL27A/RPS3/NUP88/NUP54/GTF2F2/HSP90AA1
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,283,-0.486444241,-2.307747917,1.00E-10,2.27E-08,1.70E-08,4990,"tags=49%, list=28%, signal=36%",DNAJC8/LSM7/U2AF2/DHX15/HTATSF1/CDC5L/LUZP4/TFIP11/SNRNP70/SNRPB/PPIL1/AAAS/EIF4E/MTREX/YJU2/CSTF2T/SNRNP35/SF3B4/NUP153/HNRNPA1/CLP1/SF3B2/NUP160/THOC7/RNPS1/SRSF9/DDX42/DHX38/ZCRB1/HNRNPH2/PHF5A/LSM4/PCF11/POLR2C/LSM6/UBL5/HNRNPA3/GCFC2/ZMAT2/SDE2/RBMX/SMU1/CWC22/CSTF1/MAGOH/FYTTD1/LSM2/POLR2D/CPSF4/LSM8/PPP1R8/WTAP/SRSF5/CSTF3/DDX5/POLR2H/POLR2K/PRPF6/CDC40/POLR2B/SNRNP27/PPIL4/DHX9/SNRPD1/SUGP1/CHERP/SNRPD3/FAM50A/PTBP1/HNRNPH1/SMNDC1/METTL14/PRP4K/DHX35/NUP85/POM121C/METTL3/SRSF2/HNRNPD/CSTF2/SAP18/SNIP1/HNRNPU/SNRPB2/RANBP2/STEEP1/PRPF40A/NUP98/PRPF19/NCBP1/CWC25/BCAS2/NUP107/SRSF10/SLU7/NUP42/NUDT21/WDR33/NXF1/NUP58/DDX46/THOC3/CPSF6/NUP43/PPIL2/PRPF38A/HNRNPM/HNRNPF/SRSF4/HNRNPK/U2SURP/LSM5/PAPOLA/GLE1/PPWD1/PABPN1/SYF2/GPATCH1/NUP37/SRSF1/RBM17/RNF113A/NUP50/SLBP/SF3A3/NCBP2/WBP4/NUP88/CRNKL1/NUP54/GTF2F2/AQR/PRPF8/CPSF2/PCBP1/IK/U2AF1/FUS
REACTOME_TRANSLATION,REACTOME_TRANSLATION,290,-0.478484245,-2.269397154,1.00E-10,2.27E-08,1.70E-08,5274,"tags=53%, list=29%, signal=38%",MRPL14/MRPS31/RPL39/RPS26/MRPL41/RPS20/RPL6/RPL26L1/RPL3/SPCS1/MRPS23/RPL9/EEF1G/MRPL33/RPS14/MRPS33/EIF2B4/MRPL13/MRPS22/RPS8/MRPL22/MRPL19/RPL36A/RPL5/RPS10/EIF3L/EIF4E/NARS1/MTFMT/EIF5B/RPS25/RPS18/RPS23/YARS2/EEF2/EIF4A1/TSFM/RPL24/MRPL20/MRPL16/MRPL23/EEF1E1/RPL37/MRPS15/MRPL21/ETF1/LARS2/RPS27A/MRPL50/RPL37A/EIF3E/RPS24/TUFM/GFM1/EIF3D/RPS13/GSPT1/RPS11/MRPL32/RPL8/HARS1/RPS12/RPS17/GADD45GIP1/MTIF3/RPL32/RPL29/MRPL39/RPS21/EEF1A2/RPLP2/FARSB/CHCHD1/MRPL49/MRPL40/RPS16/MRPL1/SRP54/EIF4B/RPL10A/PTCD3/RPS15/MRPL57/MRPS34/RPL36/EIF3H/RPS6/ERAL1/RPS15A/RPL7/RPSA/SEC61G/MRRF/MARS2/FARSA/MRPS12/DARS2/RPL31/MRPL53/AURKAIP1/EIF2S3/MRPL48/RPL23/RPL13A/RPL27/KGD4/MRPL28/RPL17/MRPL35/RPL36AL/EARS2/RPL26/RPL10L/MRPS17/MRPL34/MRPL3/MRPL27/EIF2B1/UBA52/RPL34/MRPL15/MRPL44/EIF5/RPL38/MRPL17/RPL14/MRPS35/RARS1/QARS1/EIF2B5/RPL35A/MRPL47/EIF2S1/DARS1/EIF3K/RPL11/MRPS25/MRPL42/MRPS30/MTRF1L/EIF3A/MRPS28/MTIF2/RPL27A/MRPL43/RPS3/PPA1/MRPS18A/MRPS18C/MRPL18/MRPS18B/MRPL12/EIF3B/MRPS5/MRPS16
REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING,212,-0.490644018,-2.26191004,1.00E-10,2.27E-08,1.70E-08,6080,"tags=59%, list=34%, signal=40%",SF3A1/HNRNPL/PQBP1/RBMX2/CWF19L2/TRA2B/SRSF11/ISY1/SF1/TXNL4A/RBM22/EFTUD2/SF3B6/DHX16/PRPF18/LENG1/PLRG1/BUD31/SRSF3/POLR2F/FAM32A/EIF4A3/PPIG/NSRP1/POLR2J/WBP11/DNAJC8/LSM7/U2AF2/DHX15/HTATSF1/CDC5L/TFIP11/SNRNP70/SNRPB/PPIL1/MTREX/YJU2/SNRNP35/SF3B4/HNRNPA1/SF3B2/RNPS1/SRSF9/DDX42/DHX38/ZCRB1/HNRNPH2/PHF5A/LSM4/POLR2C/LSM6/UBL5/HNRNPA3/GCFC2/ZMAT2/SDE2/RBMX/SMU1/CWC22/MAGOH/LSM2/POLR2D/LSM8/PPP1R8/SRSF5/DDX5/POLR2H/POLR2K/PRPF6/CDC40/POLR2B/SNRNP27/PPIL4/DHX9/SNRPD1/SUGP1/CHERP/SNRPD3/FAM50A/PTBP1/HNRNPH1/SMNDC1/PRP4K/DHX35/SRSF2/HNRNPD/SAP18/SNIP1/HNRNPU/SNRPB2/STEEP1/PRPF40A/PRPF19/NCBP1/CWC25/BCAS2/SRSF10/SLU7/DDX46/PPIL2/PRPF38A/HNRNPM/HNRNPF/SRSF4/HNRNPK/U2SURP/LSM5/PPWD1/SYF2/GPATCH1/SRSF1/RBM17/RNF113A/SF3A3/NCBP2/WBP4/CRNKL1/GTF2F2/AQR/PRPF8/PCBP1/IK/U2AF1/FUS
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,114,-0.546960021,-2.339508064,2.96E-10,5.39E-08,4.04E-08,5518,"tags=62%, list=31%, signal=43%",RPS3A/UPF1/EIF4A3/RPS7/RPL12/RPL39/RPS26/RPS20/RPL6/RPL26L1/RPL3/SMG8/DCP1A/RPL9/RPS14/RPS8/RPL36A/RPL5/RPS10/RPS25/RPS18/RPS23/RNPS1/RPL24/RPL37/ETF1/RPS27A/RPL37A/MAGOH/RPS24/RPS13/GSPT1/PPP2CA/RPS11/RPL8/RPS12/RPS17/RPL32/RPL29/RPS21/RPLP2/PPP2R1A/RPS16/RPL10A/RPS15/RPL36/RPS6/UPF3A/RPS15A/RPL7/RPSA/RPL31/RPL23/RPL13A/RPL27/RPL17/NCBP1/SMG5/RPL36AL/RPL26/RPL10L/UBA52/RPL34/RPL38/RPL14/RPL35A/RPL11/PNRC2/RPL27A/NCBP2/RPS3
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,254,-0.427356226,-2.008356126,3.17E-10,5.39E-08,4.04E-08,4079,"tags=39%, list=23%, signal=31%",NDUFS1/NDUFA11/COQ10B/ATP5ME/TMEM126A/TACO1/COX20/ATP5F1A/SFXN4/PET117/RPS27A/HIGD1A/COX4I1/PDHB/LYRM7/COX15/NDUFA1/SDHB/NDUFA4/UQCC6/UQCRB/UQCRC1/HSCB/MT-ND3/COX7A2/ATP5MG/ATP5PD/ATP5MK/DLST/SCO2/NDUFC1/CSKMT/UQCRC2/NDUFB7/HIGD2A/RANBP9/COX7B/SDHAF2/FOXRED1/COX5B/SDHA/NDUFA10/ATP5F1C/NDUFS5/KGD4/ATP5PF/L2HGDH/MPC1/NDUFAF4/NDUFV2/TIMM21/COX6A1/ATP5MC3/COX8A/NDUFB3/COX5A/NDUFAF8/COX17/COX6C/NDUFA9/UBA52/HSPA9/DMAC2L/MT-CO2/COX11/NDUFB10/ACO2/ATP5F1B/NDUFA8/UQCRH/MT-ATP8/VDAC1/MT-CYB/ATP5MC1/UQCRFS1/UQCR11/IDH3A/NDUFB5/NDUFAF7/CS/NDUFAB1/MT-ATP6/NNT/SLC25A4/SUCLG1/MAEA/ATP5PB/SLC25A14/SLC25A11/DLAT/CYCS/NDUFV1/COX7A1/MT-CO3/PDHA1/NDUFA5/SDHD/LDHA/PDK3
REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_MITOCHONDRIAL_TRANSLATION,94,-0.580489993,-2.392935302,5.76E-10,8.69E-08,6.53E-08,4887,"tags=64%, list=27%, signal=47%",MRPS23/MRPL33/MRPS33/MRPL13/MRPS22/MRPL22/MRPL19/MTFMT/TSFM/MRPL20/MRPL16/MRPL23/MRPS15/MRPL21/MRPL50/TUFM/GFM1/MRPL32/GADD45GIP1/MTIF3/MRPL39/CHCHD1/MRPL49/MRPL40/MRPL1/PTCD3/MRPL57/MRPS34/ERAL1/MRRF/MRPS12/MRPL53/AURKAIP1/MRPL48/KGD4/MRPL28/MRPL35/MRPS17/MRPL34/MRPL3/MRPL27/MRPL15/MRPL44/MRPL17/MRPS35/MRPL47/MRPS25/MRPL42/MRPS30/MTRF1L/MRPS28/MTIF2/MRPL43/MRPS18A/MRPS18C/MRPL18/MRPS18B/MRPL12/MRPS5/MRPS16
REACTOME_GPCR_LIGAND_BINDING,REACTOME_GPCR_LIGAND_BINDING,337,0.396593886,1.909070721,8.73E-10,1.19E-07,8.90E-08,3843,"tags=39%, list=21%, signal=32%",GRM8/TAC3/FZD9/PTGFR/GNG2/TACR3/ADRA2B/PROK2/NTSR1/CX3CL1/RLN2/SCTR/CRHR2/EDNRA/PLPPR5/HTR1B/QRFPR/BDKRB2/CXCL6/APLN/PTGER4/GALR3/ADRB2/ADCYAP1R1/C5AR2/PTGER3/PROKR2/PSAP/GPR39/CXCR2/ADM2/LPAR6/SSTR3/PTGER2/OPRD1/WNT2B/S1PR2/PLPPR2/ACKR1/CCK/CCKBR/INSL3/GPR37L1/CALCB/AVPR2/CXCR4/WNT8B/GPER1/NTS/AVPR1B/GPR143/GLP1R/FZD2/P2RY2/PTGIR/ACKR3/AGT/F2RL2/NMUR2/OXGR1/GRM3/TAC1/GRM5/GPR17/RAMP2/PDYN/GHRL/FFAR3/GPR68/P2RY6/WNT16/CALCRL/GNG4/ADRB3/ADORA2B/MLNR/PRLHR/DRD5/HTR6/CCL22/WNT7A/OXT/APLNR/XCL1/VIPR1/MCHR1/WNT3A/WNT2/AVPR1A/HTR1E/EDN2/DRD3/FZD7/CCL25/GNG8/NMUR1/GRM1/CASR/ADORA1/ADRB1/PENK/PTGDR/CCR1/GNGT2/BDKRB1/ADCYAP1/RAMP3/TBXA2R/HTR1A/CALCA/PTH2/LPAR2/ADGRE5/GRM7/DRD2/KISS1/FZD1/APP/CMKLR1/C5/ADRA2C/CCR8/PLPPR4/HTR7/LPAR5/ADM/CXCL3/LPAR4/SST/S1PR3/PTHLH/AVP/ADGRE2
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,92,-0.575705149,-2.371438379,1.21E-09,1.50E-07,1.13E-07,6102,"tags=71%, list=34%, signal=47%",RPL22L1/RPL28/RPS27L/RPL15/RPL4/RPL22/RPS3A/RPS7/RPL12/RPL39/RPS26/RPS20/RPL6/RPL26L1/RPL3/RPL9/EEF1G/RPS14/RPS8/RPL36A/RPL5/RPS10/RPS25/RPS18/RPS23/EEF2/RPL24/RPL37/RPS27A/RPL37A/RPS24/RPS13/RPS11/RPL8/RPS12/RPS17/RPL32/RPL29/RPS21/EEF1A2/RPLP2/RPS16/RPL10A/RPS15/RPL36/RPS6/RPS15A/RPL7/RPSA/RPL31/RPL23/RPL13A/RPL27/RPL17/RPL36AL/RPL26/RPL10L/UBA52/RPL34/RPL38/RPL14/RPL35A/RPL11/RPL27A/RPS3
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,230,0.43563989,2.026879294,2.18E-09,2.47E-07,1.85E-07,3839,"tags=42%, list=21%, signal=33%",TAC3/PTGFR/TACR3/ADRA2B/PROK2/NTSR1/CX3CL1/RLN2/EDNRA/PLPPR5/HTR1B/QRFPR/BDKRB2/CXCL6/APLN/PTGER4/GALR3/ADRB2/C5AR2/PTGER3/PROKR2/PSAP/GPR39/CXCR2/LPAR6/SSTR3/PTGER2/OPRD1/S1PR2/PLPPR2/ACKR1/CCK/CCKBR/INSL3/GPR37L1/AVPR2/CXCR4/GPER1/NTS/AVPR1B/GPR143/P2RY2/PTGIR/ACKR3/AGT/F2RL2/NMUR2/OXGR1/TAC1/GPR17/PDYN/GHRL/FFAR3/GPR68/P2RY6/ADRB3/ADORA2B/MLNR/PRLHR/DRD5/HTR6/CCL22/OXT/APLNR/XCL1/MCHR1/AVPR1A/HTR1E/EDN2/DRD3/CCL25/NMUR1/ADORA1/ADRB1/PENK/PTGDR/CCR1/BDKRB1/TBXA2R/HTR1A/LPAR2/DRD2/KISS1/APP/CMKLR1/C5/ADRA2C/CCR8/PLPPR4/HTR7/LPAR5/CXCL3/LPAR4/SST/S1PR3/AVP
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,156,-0.47412534,-2.109722865,3.05E-09,3.19E-07,2.40E-07,5538,"tags=54%, list=31%, signal=38%",NDUFS3/TTC19/MT-CO1/MDH2/UQCC3/COX6B1/NDUFB9/CYC1/MT-ND4/NDUFS7/LYRM2/NDUFA2/COX14/COX18/UQCC1/FXN/NDUFA7/COX19/NDUFB4/NDUFA6/MT-ND2/TMEM223/SLC25A12/NDUFS1/NDUFA11/COQ10B/TMEM126A/TACO1/COX20/SFXN4/PET117/HIGD1A/COX4I1/LYRM7/COX15/NDUFA1/SDHB/NDUFA4/UQCC6/UQCRB/UQCRC1/HSCB/MT-ND3/COX7A2/SCO2/NDUFC1/UQCRC2/NDUFB7/HIGD2A/COX7B/FOXRED1/COX5B/SDHA/NDUFA10/NDUFS5/NDUFAF4/NDUFV2/TIMM21/COX6A1/COX8A/NDUFB3/COX5A/NDUFAF8/COX17/COX6C/NDUFA9/HSPA9/MT-CO2/COX11/NDUFB10/NDUFA8/UQCRH/MT-CYB/UQCRFS1/UQCR11/NDUFB5/NDUFAF7/NDUFAB1/SLC25A11/CYCS/NDUFV1/COX7A1/MT-CO3/NDUFA5/SDHD
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,350,-0.377603952,-1.826201118,4.36E-09,4.23E-07,3.17E-07,4034,"tags=36%, list=22%, signal=28%",TAF12/MAPKAPK5/MEAF6/TAF2/POLR2C/E2F4/TTC5/CREBBP/PRDX1/NPM1/RPS27A/KAT5/RBL1/TAF1/COX4I1/TP53BP2/HDAC2/TOP3A/POLR2D/E2F8/PTEN/PIP4P1/BARD1/POLR2H/POLR2K/CTDP1/POLR2B/PPP2CA/NDUFA4/RRAGC/FANCD2/COX7A2/EP300/TBP/PRKAA1/TP53RK/ELOA/GSR/PPP2R1A/SCO2/RFC2/CNOT7/SFN/CRADD/CCNT2/AURKA/NELFA/CDKN1B/CHEK1/CCNA2/TRIAP1/RFC3/COX7B/BRIP1/CCNH/COX5B/CHM/YWHAG/CNOT2/NELFCD/KAT6A/MBD3/TAF4B/COX6A1/PRKAG2/PRKAG1/SMYD2/TAF9/COX8A/AGO1/CHD3/COX5A/MRE11/TAF11/LAMTOR3/GTF2H3/COX6C/UBA52/NBN/CCNB1/ARID3A/MAPK11/CCNA1/MT-CO2/JMY/MOV10/NOC2L/BRCA1/EHMT1/HUS1/DNA2/CHEK2/TOPBP1/EXO1/AGO2/MNAT1/PCBP4/GPI/CDK7/RMI1/PDPK1/GTF2F2/MSH2/MDM2/CDK5/HIPK1/RRAGA/GTF2H1/HIPK2/CYCS/USP7/MAPKAP1/E2F1/PCNA/TCEA1/COX7A1/MT-CO3/PIP4K2A/CASP6/TNRC6A/GLS/PPP2R1B/SGK1/AKT1/RABGGTB/RRAGD
REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS,269,-0.403894884,-1.900732526,9.03E-09,8.18E-07,6.14E-07,5161,"tags=44%, list=29%, signal=32%",YWHAQ/CENPM/H2BC14/PSMD13/CENPS/ORC6/BUB1B/PSMC5/UBE2V2/MAD2L1/PSMA4/PSMA3/ZWINT/PSMB6/CLASP1/CCNE1/PAFAH1B1/PPP2R5B/PSMD7/ANAPC4/ORC2/H4C8/YWHAZ/KNL1/NUP160/PLK1/RFC5/BLM/H2BC4/SGO2/PMF1/RPS27A/KAT5/CDC27/H4C14/TOP3A/TAOK1/BARD1/UIMC1/PPP2CA/ANAPC7/PSMA5/UBE2E1/H2AX/UBE2D1/CENPH/ZWILCH/UBE2N/RNF168/RCC2/CENPK/PPP2R1A/CDC16/RFC2/NUP85/ORC1/SFN/ANAPC15/DYNLL1/CDKN1B/H2BC17/CDC6/PSMA6/CHEK1/NUF2/CCNA2/MAPRE1/PSMC2/RFC3/BRIP1/CDC25A/DYNC1LI2/RANBP2/YWHAG/NSL1/CDC45/SPDL1/NUP98/KNTC1/CENPU/NUP107/CENPP/PSMD12/MCM6/PSMC6/PSMD6/MRE11/PPP1CC/DSN1/UBA52/NBN/DYNC1LI1/CCNB1/CLIP1/NUP43/MIS12/MCM10/CCNA1/ANAPC5/ANAPC2/BRCA1/HUS1/DNA2/PKMYT1/CHEK2/TOPBP1/H2BC15/EXO1/NUP37/MCM2/PCBP4/MCM7/HERC2/RMI1/MDM2/CDC7/CENPQ/MCM4/PPP2R1B
